Date,Open,High,Low,Close,Volume,Adj Close
2015-09-25,10.75,10.75,10.75,10.75,000,10.386927
2015-09-24,10.77,10.77,10.77,10.77,000,10.406252
2015-09-23,10.76,10.76,10.76,10.76,000,10.39659
2015-09-22,10.77,10.77,10.77,10.77,000,10.406252
2015-09-21,10.74,10.74,10.74,10.74,000,10.377265
2015-09-18,10.78,10.78,10.78,10.78,000,10.415914
2015-09-17,10.74,10.74,10.74,10.74,000,10.377265
2015-09-16,10.69,10.69,10.69,10.69,000,10.328953
2015-09-15,10.69,10.69,10.69,10.69,000,10.328953
2015-09-14,10.74,10.74,10.74,10.74,000,10.377265
2015-09-11,10.74,10.74,10.74,10.74,000,10.377265
2015-09-10,10.73,10.73,10.73,10.73,000,10.367602
2015-09-09,10.74,10.74,10.74,10.74,000,10.377265
2015-09-08,10.73,10.73,10.73,10.73,000,10.367602
2015-09-04,10.77,10.77,10.77,10.77,000,10.406252
2015-09-03,10.75,10.75,10.75,10.75,000,10.386927
2015-09-02,10.73,10.73,10.73,10.73,000,10.367602
2015-09-01,10.75,10.75,10.75,10.75,000,10.386927
2015-08-31,10.72,10.72,10.72,10.72,000,10.357941
2015-08-28,10.74,10.74,10.74,10.74,000,10.356008
2015-08-27,10.74,10.74,10.74,10.74,000,10.356008
2015-08-26,10.74,10.74,10.74,10.74,000,10.356008
2015-08-25,10.78,10.78,10.78,10.78,000,10.394578
2015-08-24,10.82,10.82,10.82,10.82,000,10.433148
2015-08-21,10.82,10.82,10.82,10.82,000,10.433148
2015-08-20,10.80,10.80,10.80,10.80,000,10.413863
2015-08-19,10.79,10.79,10.79,10.79,000,10.40422
2015-08-18,10.75,10.75,10.75,10.75,000,10.365651
2015-08-17,10.77,10.77,10.77,10.77,000,10.384936
2015-08-14,10.76,10.76,10.76,10.76,000,10.375293
2015-08-13,10.76,10.76,10.76,10.76,000,10.375293
2015-08-12,10.79,10.79,10.79,10.79,000,10.40422
2015-08-11,10.80,10.80,10.80,10.80,000,10.413863
2015-08-10,10.75,10.75,10.75,10.75,000,10.365651
2015-08-07,10.78,10.78,10.78,10.78,000,10.394578
2015-08-06,10.76,10.76,10.76,10.76,000,10.375293
2015-08-05,10.74,10.74,10.74,10.74,000,10.356008
2015-08-04,10.76,10.76,10.76,10.76,000,10.375293
2015-08-03,10.80,10.80,10.80,10.80,000,10.413863
2015-07-31,10.78,10.78,10.78,10.78,000,10.394578
2015-07-30,10.75,10.75,10.75,10.75,000,10.344437
2015-07-29,10.74,10.74,10.74,10.74,000,10.334814
2015-07-28,10.75,10.75,10.75,10.75,000,10.344437
2015-07-27,10.77,10.77,10.77,10.77,000,10.363683
2015-07-24,10.75,10.75,10.75,10.75,000,10.344437
2015-07-23,10.75,10.75,10.75,10.75,000,10.344437
2015-07-22,10.73,10.73,10.73,10.73,000,10.325191
2015-07-21,10.72,10.72,10.72,10.72,000,10.315569
2015-07-20,10.70,10.70,10.70,10.70,000,10.296323
2015-07-17,10.72,10.72,10.72,10.72,000,10.315569
2015-07-16,10.72,10.72,10.72,10.72,000,10.315569
2015-07-15,10.71,10.71,10.71,10.71,000,10.305946
2015-07-14,10.69,10.69,10.69,10.69,000,10.2867
2015-07-13,10.67,10.67,10.67,10.67,000,10.267455
2015-07-10,10.69,10.69,10.69,10.69,000,10.2867
2015-07-09,10.73,10.73,10.73,10.73,000,10.325191
2015-07-08,10.79,10.79,10.79,10.79,000,10.382928
2015-07-07,10.76,10.76,10.76,10.76,000,10.35406
2015-07-06,10.74,10.74,10.74,10.74,000,10.334814
2015-07-02,10.70,10.70,10.70,10.70,000,10.296323
2015-07-01,10.68,10.68,10.68,10.68,000,10.277078
2015-06-30,10.72,10.72,10.72,10.72,000,10.315569
2015-06-29,10.73,10.73,10.73,10.73,000,10.304983
2015-06-26,10.66,10.66,10.66,10.66,000,10.237756
2015-06-25,10.69,10.69,10.69,10.69,000,10.266568
2015-06-24,10.71,10.71,10.71,10.71,000,10.285776
2015-06-23,10.69,10.69,10.69,10.69,000,10.266568
2015-06-22,10.71,10.71,10.71,10.71,000,10.285776
2015-06-19,10.76,10.76,10.76,10.76,000,10.333796
2015-06-18,10.73,10.73,10.73,10.73,000,10.304983
2015-06-17,10.74,10.74,10.74,10.74,000,10.314587
2015-06-16,10.74,10.74,10.74,10.74,000,10.314587
2015-06-15,10.72,10.72,10.72,10.72,000,10.29538
2015-06-12,10.71,10.71,10.71,10.71,000,10.285776
2015-06-11,10.72,10.72,10.72,10.72,000,10.29538
2015-06-10,10.67,10.67,10.67,10.67,000,10.24736
2015-06-09,10.70,10.70,10.70,10.70,000,10.276172
2015-06-08,10.72,10.72,10.72,10.72,000,10.29538
2015-06-05,10.71,10.71,10.71,10.71,000,10.285776
2015-06-04,10.76,10.76,10.76,10.76,000,10.333796
2015-06-03,10.73,10.73,10.73,10.73,000,10.304983
2015-06-02,10.78,10.78,10.78,10.78,000,10.353003
2015-06-01,10.82,10.82,10.82,10.82,000,10.391419
2015-05-29,10.85,10.85,10.85,10.85,000,10.420231
2015-05-28,10.85,10.85,10.85,10.85,000,10.400063
2015-05-27,10.85,10.85,10.85,10.85,000,10.400063
2015-05-26,10.85,10.85,10.85,10.85,000,10.400063
2015-05-22,10.81,10.81,10.81,10.81,000,10.361721
2015-05-21,10.83,10.83,10.83,10.83,000,10.380892
2015-05-20,10.79,10.79,10.79,10.79,000,10.34255
2015-05-19,10.78,10.78,10.78,10.78,000,10.332965
2015-05-18,10.82,10.82,10.82,10.82,000,10.371306
2015-05-15,10.86,10.86,10.86,10.86,000,10.409647
2015-05-14,10.81,10.81,10.81,10.81,000,10.361721
2015-05-13,10.79,10.79,10.79,10.79,000,10.34255
2015-05-12,10.80,10.80,10.80,10.80,000,10.352136
2015-05-11,10.80,10.80,10.80,10.80,000,10.352136
2015-05-08,10.86,10.86,10.86,10.86,000,10.409647
2015-05-07,10.84,10.84,10.84,10.84,000,10.390477
2015-05-06,10.82,10.82,10.82,10.82,000,10.371306
2015-05-05,10.85,10.85,10.85,10.85,000,10.400063
2015-05-04,10.86,10.86,10.86,10.86,000,10.409647
2015-05-01,10.88,10.88,10.88,10.88,000,10.428818
2015-04-30,10.92,10.92,10.92,10.92,000,10.467159
